
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        128 K
Registry                       144 Services                   0     60.176 K
smss.exe                       572 Services                   0      1.032 K
csrss.exe                     1008 Services                   0      6.576 K
wininit.exe                    764 Services                   0      7.484 K
services.exe                     8 Services                   0     10.924 K
lsass.exe                      880 Services                   0     29.108 K
svchost.exe                   1188 Services                   0     35.292 K
fontdrvhost.exe               1240 Services                   0      3.288 K
WUDFHost.exe                  1292 Services                   0      7.452 K
svchost.exe                   1392 Services                   0     17.652 K
svchost.exe                   1436 Services                   0      8.944 K
WUDFHost.exe                  1512 Services                   0     10.052 K
WUDFHost.exe                  1664 Services                   0     24.124 K
svchost.exe                   1832 Services                   0      6.368 K
svchost.exe                   1856 Services                   0     10.468 K
svchost.exe                   1872 Services                   0      8.948 K
svchost.exe                   1884 Services                   0     10.744 K
svchost.exe                   1896 Services                   0     12.380 K
svchost.exe                   2012 Services                   0     10.588 K
svchost.exe                   1556 Services                   0     15.996 K
svchost.exe                   2064 Services                   0     10.820 K
svchost.exe                   2084 Services                   0     10.168 K
svchost.exe                   2096 Services                   0      9.444 K
svchost.exe                   2260 Services                   0      8.636 K
svchost.exe                   2272 Services                   0     12.204 K
IntelCpHDCPSvc.exe            2284 Services                   0      5.552 K
svchost.exe                   2304 Services                   0      6.552 K
svchost.exe                   2312 Services                   0      9.132 K
svchost.exe                   2376 Services                   0     18.572 K
svchost.exe                   2416 Services                   0      5.832 K
svchost.exe                   2448 Services                   0      7.964 K
svchost.exe                   2540 Services                   0      7.740 K
svchost.exe                   2596 Services                   0      7.216 K
svchost.exe                   2712 Services                   0      7.432 K
svchost.exe                   2760 Services                   0      8.652 K
svchost.exe                   2804 Services                   0      9.504 K
svchost.exe                   2992 Services                   0     14.728 K
svchost.exe                   3044 Services                   0      9.648 K
igfxCUIServiceN.exe           3064 Services                   0     10.820 K
gxxsvc.exe                    3368 Services                   0     19.548 K
svchost.exe                   3488 Services                   0     21.200 K
svchost.exe                   3600 Services                   0     19.116 K
svchost.exe                   3740 Services                   0      5.692 K
svchost.exe                   3748 Services                   0     12.572 K
svchost.exe                   3804 Services                   0      9.304 K
svchost.exe                   3812 Services                   0      9.144 K
Memory Compression            3828 Services                   0    109.404 K
svchost.exe                   3964 Services                   0     15.160 K
svchost.exe                   3992 Services                   0      7.072 K
svchost.exe                   2988 Services                   0      6.600 K
svchost.exe                   3404 Services                   0     18.856 K
svchost.exe                   3536 Services                   0     13.756 K
spoolsv.exe                   3456 Services                   0     14.604 K
svchost.exe                   4140 Services                   0     20.036 K
svchost.exe                   4224 Services                   0      8.048 K
wlanext.exe                   4336 Services                   0      7.036 K
conhost.exe                   4348 Services                   0      5.732 K
svchost.exe                   4640 Services                   0     14.816 K
svchost.exe                   4648 Services                   0     26.472 K
OneApp.IGCC.WinService.ex     4660 Services                   0     43.624 K
svchost.exe                   4668 Services                   0     36.956 K
OfficeClickToRun.exe          4688 Services                   0     49.296 K
IntelAudioService.exe         4704 Services                   0     28.148 K
esif_uf.exe                   4728 Services                   0      6.728 K
svchost.exe                   4736 Services                   0      8.184 K
svchost.exe                   4748 Services                   0     11.104 K
WsNativePushService.exe       4888 Services                   0      4.748 K
RstMwService.exe              4912 Services                   0      8.120 K
RtkAudUService64.exe          4920 Services                   0     11.776 K
GoodixSessionService.exe      4940 Services                   0      3.644 K
scsiaccess.exe                4948 Services                   0      3.904 K
sqlwriter.exe                 4984 Services                   0      8.408 K
svchost.exe                   4996 Services                   0      5.920 K
TbtP2pShortcutService.exe     5008 Services                   0      5.992 K
UltraViewer_Service.exe       5028 Services                   0     25.244 K
svchost.exe                   5036 Services                   0     16.892 K
vmnetdhcp.exe                 5064 Services                   0      5.676 K
jhi_service.exe               4360 Services                   0      6.548 K
svchost.exe                   4604 Services                   0      9.308 K
vmnat.exe                     4904 Services                   0      8.732 K
svchost.exe                   5148 Services                   0      8.828 K
WavesAudioService.exe         5204 Services                   0     16.784 K
WavesSysSvc64.exe             5256 Services                   0     23.708 K
